#nombre,duracion,participantes,level,language,precio
SQL,189,3,D,Ger,44.99
Rust,211,5,A,Fre,45.85
C,143,20,B,Gal,30.63
Rust,130,19,D,Gal,26.44
SQL,192,1,B,Ger,43.99
PHP,171,16,C,Gal,8.58
C,53,23,A,Eng,9.7
PHP,187,19,C,Ger,23.8
SQL,120,11,D,Eng,29.82
C++,199,14,D,Fre,45.47
PHP,65,24,C,Eng,32.8
Python,79,19,B,Eng,28.95
Rust,24,14,C,Gal,6.64
SQL,133,8,C,Fre,44.22
C,177,4,A,Cas,44.28
PHP,21,12,A,Cas,39.0
C++,47,14,A,Cas,32.29
Python,45,2,D,Eng,32.29
C++,89,14,B,Eng,46.08
C++,32,1,C,Cas,16.04
SQL,206,4,B,Eng,35.49
C++,104,13,B,Eng,25.44
Rust,227,22,A,Ger,41.15
C,240,14,C,Ger,32.43
Rust,202,2,C,Fre,27.16
SQL,237,14,D,Ger,9.32
Rust,62,23,D,Cas,20.7
C,193,7,A,Gal,27.64
C,209,16,B,Eng,49.93
Rust,15,21,B,Fre,15.28
Rust,180,12,A,Eng,39.71
Python,18,5,C,Gal,23.99
Rust,220,9,C,Ger,23.49
Python,239,13,D,Eng,39.57
Rust,67,12,C,Fre,36.65
C++,65,11,C,Ger,38.6
Rust,235,8,D,Gal,10.53
Rust,153,8,A,Gal,11.1
PHP,11,9,D,Ger,6.49
C++,32,7,D,Gal,39.51
PHP,236,19,C,Eng,39.3
Rust,30,13,A,Cas,44.86
PHP,183,10,C,Gal,19.01
C,111,22,A,Ger,22.68
Python,104,18,D,Eng,5.99
Python,70,7,C,Cas,21.38
C,98,17,C,Eng,21.49
PHP,183,5,B,Fre,33.49
Rust,66,12,A,Cas,49.16
C++,63,6,B,Fre,22.47
C,32,2,B,Eng,13.17
Python,12,23,D,Fre,34.37
C++,190,20,B,Gal,45.48
SQL,112,11,D,Cas,29.29
Rust,178,22,C,Ger,17.26
SQL,154,18,B,Cas,25.12
C,152,2,C,Cas,38.76
Rust,106,1,D,Ger,29.79
C,240,18,A,Cas,39.97
Rust,132,12,D,Cas,6.2
C,138,10,B,Eng,19.01
Python,226,23,C,Fre,36.67
Rust,75,9,D,Cas,14.76
PHP,143,23,D,Ger,6.99
Rust,198,12,A,Cas,46.73
Rust,151,6,D,Gal,14.54
PHP,151,17,D,Gal,26.63
Rust,122,21,B,Cas,43.71
SQL,48,8,C,Cas,8.44
C++,37,14,D,Ger,34.24
PHP,44,24,A,Ger,9.01
Rust,65,2,B,Gal,41.54
C,107,6,D,Gal,34.18
SQL,240,18,B,Ger,26.69
C,87,14,B,Ger,31.94
Rust,11,15,B,Fre,20.68
Rust,39,13,C,Gal,49.05
SQL,93,24,A,Eng,13.64
PHP,115,24,B,Gal,36.12
PHP,76,23,C,Eng,43.46
C++,169,13,B,Fre,29.03
Python,222,3,A,Eng,39.69
PHP,193,15,D,Fre,47.28
PHP,144,17,C,Eng,45.47
C++,181,8,A,Fre,47.35
Python,235,7,D,Eng,38.06
SQL,150,8,B,Gal,5.34
Python,72,2,C,Eng,36.09
Rust,33,10,C,Eng,10.79
C++,199,7,D,Fre,16.16
Rust,200,11,C,Ger,23.78
Rust,196,16,C,Cas,34.57
Python,128,21,D,Fre,17.94
Rust,29,12,A,Gal,14.76
Rust,18,18,C,Fre,33.74
C,93,24,A,Eng,20.67
Python,81,8,A,Gal,34.84
PHP,170,14,B,Gal,40.73
C++,216,1,C,Gal,36.84
PHP,206,18,C,Fre,36.06
C,201,4,C,Fre,24.33
SQL,107,1,B,Cas,11.7
Rust,168,8,A,Gal,14.46
C,182,2,D,Ger,6.46
SQL,233,24,A,Ger,17.9
C,208,7,A,Eng,49.16
Rust,184,6,D,Fre,28.14
C,169,19,C,Eng,33.7
SQL,69,2,A,Gal,16.95
C,84,21,D,Cas,49.8
PHP,81,7,D,Gal,21.37
Rust,150,3,B,Eng,28.44
C,169,22,A,Cas,6.71
Python,95,1,B,Fre,13.76
Rust,200,15,C,Gal,14.93
C++,120,13,B,Cas,41.32
C,162,4,C,Ger,36.18
PHP,75,1,A,Gal,21.19
C,226,25,C,Ger,23.31
C,134,24,A,Fre,40.72
PHP,12,6,B,Fre,46.92
Rust,184,6,C,Ger,5.36
C,135,6,C,Eng,41.52
C,114,10,C,Eng,14.41
Rust,189,25,A,Fre,36.84
PHP,188,2,D,Gal,27.02
Python,172,8,B,Ger,12.38
C,199,16,A,Eng,39.93
Rust,34,5,C,Cas,19.27
C,67,23,C,Cas,42.67
Rust,144,15,B,Eng,15.81
C,106,16,B,Eng,48.68
C,227,19,D,Gal,34.36
Rust,234,6,A,Gal,40.52
SQL,19,3,D,Fre,12.3
PHP,93,25,C,Gal,17.71
Rust,195,17,D,Ger,22.03
C++,184,15,C,Eng,29.04
Rust,166,11,A,Gal,38.04
C,211,20,D,Cas,31.87
C,18,10,B,Gal,11.4
C++,106,13,B,Fre,33.12
PHP,51,18,A,Gal,9.36
C++,192,15,A,Fre,42.62
Rust,237,17,C,Ger,46.0
PHP,199,14,B,Gal,8.12
Rust,101,8,B,Eng,38.71
SQL,76,1,D,Cas,13.85
Rust,17,23,A,Ger,34.9
SQL,195,19,D,Ger,24.32
C++,230,15,A,Gal,36.72
C,51,23,D,Eng,34.92
SQL,160,18,B,Cas,38.98
C,33,5,B,Fre,47.41
SQL,73,16,A,Fre,31.01
Rust,221,1,B,Ger,37.64
Rust,111,1,B,Fre,48.72
C++,217,16,A,Cas,41.67
Rust,173,11,D,Ger,42.26
Rust,100,13,C,Cas,33.85
Rust,204,21,D,Gal,36.77
C++,172,18,D,Gal,30.85
C,239,7,D,Cas,16.42
Python,149,6,C,Ger,48.4
Rust,99,6,D,Gal,27.65
C,122,23,B,Cas,18.8
C,212,8,C,Cas,39.06
SQL,137,5,A,Gal,44.97
C,27,2,B,Cas,46.51
Rust,150,16,D,Cas,15.6
Python,106,6,C,Ger,30.3
SQL,175,7,D,Gal,31.46
Rust,34,21,A,Cas,43.9
C++,85,1,B,Eng,25.07
C,234,14,C,Eng,23.77
Rust,229,22,C,Cas,39.58
C++,141,18,A,Fre,22.87
C++,206,16,B,Eng,26.54
Rust,122,17,B,Eng,25.26
SQL,15,24,C,Eng,44.19
Rust,80,16,D,Cas,13.33
Rust,138,23,B,Fre,6.02
SQL,64,9,B,Fre,27.35
Rust,125,23,C,Ger,37.61
PHP,64,3,D,Ger,36.87
C,180,8,C,Cas,17.66
C++,193,24,B,Ger,35.68
Rust,178,7,D,Eng,43.33
C++,208,16,B,Cas,26.13
PHP,223,19,A,Fre,11.58
C++,21,10,D,Fre,18.51
C,112,9,A,Cas,26.96
PHP,207,5,D,Cas,41.52
Rust,122,21,D,Gal,17.92
Python,109,14,A,Gal,49.43
Python,76,2,C,Ger,20.84
SQL,138,8,D,Cas,45.2
C,75,25,D,Cas,33.08
SQL,100,13,A,Cas,36.15
Python,141,23,B,Fre,26.73
C++,219,11,D,Fre,48.46
C,162,8,D,Gal,17.64
PHP,27,14,B,Cas,20.64
Python,209,5,D,Ger,6.6
SQL,222,16,B,Gal,42.1
Python,190,12,A,Ger,34.78
SQL,58,3,D,Fre,23.25
Python,194,18,A,Ger,43.52
SQL,33,4,C,Ger,34.66
Rust,197,5,C,Ger,31.47
SQL,155,2,D,Ger,13.44
PHP,43,24,C,Ger,14.88
Rust,185,23,A,Eng,20.59
Python,120,1,A,Ger,9.3
C++,133,24,C,Cas,42.08
Python,43,2,D,Cas,23.55
SQL,63,18,B,Eng,7.53
C,95,2,C,Ger,14.84
Rust,166,12,D,Ger,22.51
C++,180,23,D,Cas,36.85
Python,80,7,C,Gal,7.21
SQL,94,8,B,Cas,16.18
SQL,138,4,B,Ger,8.97
SQL,111,20,D,Ger,25.17
Rust,114,3,B,Fre,15.21
Rust,10,3,C,Gal,6.97
Rust,15,20,A,Gal,20.82
Rust,105,22,C,Cas,35.47
Rust,63,6,C,Cas,7.74
Python,196,6,D,Ger,37.61
Python,38,19,D,Eng,20.87
Rust,23,8,A,Gal,22.32
C,133,21,C,Gal,12.23
Rust,107,23,B,Fre,26.35
Python,229,21,D,Ger,7.5
Rust,196,23,D,Fre,22.78
Rust,22,5,D,Cas,27.41
C++,83,21,A,Eng,20.86
Python,18,25,A,Cas,24.14
Python,101,8,A,Ger,18.13
Python,122,3,B,Cas,20.63
Rust,211,6,B,Cas,8.43
Rust,235,17,C,Cas,45.21
PHP,223,4,D,Eng,31.47
Rust,30,11,B,Ger,42.38
Rust,228,4,A,Gal,36.59
Python,32,7,C,Eng,25.03
Python,13,2,D,Eng,16.96
Rust,72,24,D,Cas,39.1
SQL,197,6,C,Ger,19.1
C++,115,20,D,Gal,35.01
Rust,200,10,C,Ger,34.65
C++,68,12,B,Eng,17.88
Rust,211,13,B,Fre,34.75
SQL,89,11,C,Eng,15.72
C++,90,4,A,Gal,12.37
Rust,125,16,C,Cas,22.12
C++,163,2,D,Fre,38.88
Rust,109,6,C,Eng,8.03
Python,237,7,D,Ger,33.18
Rust,17,6,D,Eng,19.5
Python,119,14,A,Fre,12.37
Python,212,16,D,Ger,39.78
C++,169,22,A,Cas,18.68
Python,157,2,C,Ger,33.75
PHP,124,8,C,Fre,19.34
SQL,206,25,A,Cas,20.4
PHP,189,25,B,Gal,13.83
C,134,12,C,Eng,8.41
Python,171,23,D,Eng,21.76
Python,64,7,C,Fre,38.29
Python,95,4,D,Gal,9.59
Python,187,18,B,Eng,37.08
PHP,64,8,A,Cas,13.94
Rust,85,13,C,Eng,5.63
C++,87,5,C,Ger,21.76
Python,236,20,D,Fre,23.21
PHP,207,17,B,Eng,38.93
PHP,53,13,B,Fre,37.05
Rust,92,22,D,Gal,19.75
Rust,145,8,C,Ger,41.09
C,98,8,A,Gal,18.73
C++,150,11,C,Gal,9.24
Rust,71,20,C,Eng,14.3
PHP,121,9,B,Fre,23.81
C++,169,19,D,Fre,25.87
C,136,9,B,Eng,19.63
SQL,226,5,D,Fre,19.88
C++,119,1,D,Cas,48.62
Python,28,4,D,Gal,40.86
Python,108,13,B,Cas,13.76
C++,52,15,C,Ger,18.23
Python,87,8,C,Fre,41.59
Rust,11,14,D,Gal,9.62
Rust,218,16,B,Cas,32.57
Rust,61,5,A,Cas,26.12
C++,165,8,B,Eng,23.24
Rust,71,10,C,Fre,31.6
SQL,109,20,A,Gal,16.98
Rust,83,18,A,Eng,17.39
Rust,212,15,C,Gal,42.77
C,127,22,A,Fre,8.61
C,213,4,C,Fre,12.65
Rust,210,6,B,Eng,33.15
PHP,17,16,B,Gal,5.99
C,54,23,B,Eng,14.39
C,17,4,D,Cas,24.25
Rust,163,7,B,Ger,11.18
SQL,194,6,C,Fre,42.6
C++,215,23,B,Ger,34.12
Python,209,12,B,Cas,37.93
Rust,99,16,B,Eng,41.34
Rust,231,17,B,Cas,36.87
Rust,38,6,A,Cas,48.29
PHP,50,19,B,Cas,34.19
C,167,5,A,Cas,19.56
Rust,231,5,D,Eng,42.05
C,50,19,B,Gal,42.88
Python,133,8,C,Gal,20.55
Rust,42,15,D,Eng,17.75
PHP,39,22,A,Ger,31.24
Python,42,13,B,Fre,14.09
Python,42,9,C,Ger,8.1
Rust,33,12,C,Gal,48.7
PHP,54,11,A,Eng,24.66
PHP,99,15,D,Eng,39.52
Rust,143,19,A,Fre,37.47
C,164,24,C,Gal,39.5
Python,133,15,B,Fre,40.73
Python,152,18,A,Fre,40.6
Python,202,24,C,Fre,27.37
Python,158,21,C,Ger,36.92
C++,28,14,C,Fre,40.7
SQL,55,20,C,Fre,26.15
SQL,76,21,C,Fre,33.6
C,117,16,C,Gal,23.21
C,140,16,B,Gal,43.26
PHP,44,12,A,Cas,14.68
Python,26,8,D,Eng,30.57
Rust,211,8,D,Ger,12.7
Rust,129,24,C,Fre,36.48
Python,83,10,B,Cas,11.94
C++,44,18,A,Cas,36.4
Python,174,13,C,Gal,17.8
Rust,54,15,C,Fre,28.86
Python,189,9,C,Ger,26.48
PHP,49,10,D,Gal,9.85
Python,85,4,D,Gal,45.6
C++,135,17,B,Cas,33.18
Rust,87,20,B,Fre,24.96
PHP,72,6,B,Fre,48.71
C,181,3,D,Eng,37.27
PHP,239,22,B,Gal,21.8
Rust,212,21,C,Ger,46.63
Rust,154,6,D,Fre,20.75
SQL,160,2,A,Fre,34.91
C++,92,18,A,Ger,44.33
SQL,207,6,C,Ger,31.31
PHP,153,1,D,Cas,23.82
Rust,83,8,D,Cas,37.84
PHP,127,14,C,Ger,16.23
C++,85,5,A,Gal,16.05
C++,103,8,B,Ger,45.55
Rust,119,14,C,Gal,36.86
Rust,30,17,C,Cas,39.69
SQL,68,14,A,Eng,25.25
SQL,80,7,B,Ger,13.78
PHP,183,17,C,Fre,10.79
Rust,122,21,A,Eng,45.13
SQL,160,24,C,Fre,7.44
Python,15,1,A,Eng,35.73
SQL,45,17,D,Fre,34.52
SQL,90,15,C,Eng,18.79
Python,31,2,A,Eng,43.84
PHP,207,9,D,Eng,46.24
Rust,98,12,D,Gal,25.75
SQL,167,15,C,Cas,24.44
SQL,235,19,A,Cas,29.75
C,188,4,B,Cas,21.4
Rust,235,2,C,Ger,18.47
Python,59,14,B,Eng,31.76
Rust,196,12,B,Eng,32.92
Rust,58,15,D,Cas,20.0
Rust,152,10,A,Cas,35.59
Rust,36,1,B,Ger,15.41
PHP,237,14,D,Eng,49.53
Python,127,12,A,Gal,36.5
Rust,44,2,D,Eng,44.31
PHP,44,20,A,Cas,15.98
C,112,23,C,Ger,29.06
Rust,24,24,D,Gal,10.98
SQL,145,21,C,Ger,14.08
Rust,188,21,B,Ger,39.8
SQL,44,2,A,Ger,48.21
SQL,158,8,C,Ger,37.52
PHP,170,14,A,Ger,37.06
Python,160,13,B,Ger,43.89
Python,105,23,C,Ger,49.09
Python,152,18,A,Gal,47.19
SQL,127,20,D,Gal,26.95
PHP,105,7,D,Fre,27.03
Rust,188,3,A,Ger,20.38
C,179,14,D,Cas,20.54
PHP,227,2,C,Eng,34.3
PHP,169,8,C,Eng,37.41
Rust,47,11,A,Ger,27.88
Rust,185,23,B,Fre,27.64
C++,66,24,A,Eng,34.97
Python,154,17,C,Eng,38.07
C++,122,3,A,Eng,46.28
Rust,166,8,B,Ger,42.01
PHP,80,1,A,Fre,48.62
Python,173,23,A,Fre,31.86
C,38,8,B,Fre,36.29
C++,164,13,D,Fre,29.25
Rust,81,11,D,Ger,21.86
C,166,3,A,Fre,20.54
C,217,5,B,Fre,9.68
C,185,16,C,Cas,7.68
C,155,23,A,Fre,32.17
Python,29,4,B,Gal,47.2
Python,134,10,C,Ger,12.92
SQL,35,10,D,Eng,47.09
C++,185,23,D,Fre,41.82
PHP,89,24,B,Eng,10.99
PHP,24,21,B,Cas,27.56
Rust,20,3,C,Fre,9.72
PHP,180,11,A,Ger,5.35
SQL,159,11,A,Gal,25.37
Rust,223,15,B,Cas,19.17
Rust,130,23,D,Fre,28.8
Python,234,6,C,Gal,31.05
C,70,11,D,Cas,45.19
SQL,199,24,B,Gal,35.33
Python,169,6,C,Fre,49.43
Python,81,1,C,Gal,48.18
Python,17,17,B,Cas,16.3
Rust,53,9,A,Ger,43.05
PHP,173,16,B,Gal,36.17
Python,192,19,C,Fre,27.61
SQL,125,13,B,Cas,48.9
C++,216,9,C,Eng,39.59
C++,168,22,B,Ger,41.85
C++,36,8,C,Eng,24.92
SQL,199,20,A,Eng,39.63
PHP,131,2,A,Eng,32.85
C++,174,24,C,Cas,35.05
C++,83,10,B,Fre,12.6
PHP,20,23,A,Gal,20.41
Rust,81,12,D,Fre,47.14
Python,124,17,B,Eng,17.32
PHP,147,24,B,Eng,32.08
C++,166,5,B,Fre,49.86
Python,217,13,A,Fre,5.11
PHP,23,22,B,Ger,22.82
C++,118,17,B,Eng,21.05
C++,78,10,C,Eng,11.54
Python,189,7,C,Fre,6.53
C,89,1,A,Gal,13.11
C++,138,21,C,Ger,7.56
Rust,225,23,A,Cas,11.58
C,230,20,A,Eng,45.0
C,182,4,A,Gal,31.74
SQL,102,17,C,Fre,34.8
Rust,101,17,A,Gal,22.12
SQL,228,18,B,Gal,8.92
Rust,191,4,A,Cas,5.67
Rust,152,19,B,Ger,33.73
Rust,132,12,A,Eng,33.45
SQL,63,18,A,Ger,19.29
Rust,179,2,D,Ger,43.73
Rust,91,17,C,Ger,42.49
PHP,211,23,A,Ger,20.39
PHP,121,19,D,Gal,41.19
SQL,193,14,A,Cas,18.73
SQL,55,11,C,Gal,13.06
SQL,89,6,C,Cas,49.58
C++,231,19,D,Eng,31.62
SQL,101,13,C,Cas,36.61
PHP,86,15,D,Fre,47.99
PHP,116,22,D,Gal,24.28
C++,64,10,B,Cas,20.37
Rust,106,10,D,Eng,6.37
C++,35,3,C,Fre,14.06
PHP,98,8,C,Cas,26.98
PHP,120,12,A,Eng,31.71
SQL,122,4,A,Eng,33.02
SQL,183,11,D,Ger,46.77
PHP,49,23,A,Ger,47.66
Rust,157,5,B,Gal,32.57
C,205,9,C,Cas,46.23
Rust,55,12,A,Fre,27.8
PHP,25,18,B,Gal,34.27
PHP,165,12,A,Fre,39.87
Python,59,15,B,Fre,38.74
SQL,216,1,B,Gal,24.38
Rust,154,16,C,Fre,36.9
C,218,1,A,Fre,47.69
Rust,190,12,C,Cas,10.52
C++,74,4,C,Ger,37.45
SQL,59,22,B,Fre,19.78
Rust,172,12,C,Eng,12.89
Python,31,15,C,Cas,12.67
C,28,19,A,Ger,46.71
SQL,23,3,A,Fre,6.72
C++,81,10,C,Gal,17.35
C++,63,8,C,Eng,34.45
Python,52,1,C,Eng,44.79
PHP,222,9,D,Gal,44.23
Rust,105,23,B,Gal,10.13
C,238,11,D,Cas,32.56
PHP,232,4,B,Eng,31.66
C++,12,19,C,Eng,5.27
C,10,9,C,Ger,24.87
Python,91,7,D,Ger,21.85
Rust,115,19,A,Fre,30.31
Python,128,11,C,Gal,7.08
C++,21,3,C,Gal,10.51
PHP,98,10,B,Fre,23.15
Python,186,24,B,Ger,8.29
Rust,214,13,A,Gal,33.16
PHP,138,9,B,Fre,30.77
C,79,18,D,Eng,22.82
PHP,194,17,A,Gal,9.97
PHP,195,23,B,Eng,11.19
Rust,56,6,C,Fre,43.29
Python,85,18,A,Gal,7.43
Rust,230,10,A,Gal,6.26
SQL,151,19,A,Eng,12.03
C,111,11,B,Gal,13.66
Rust,123,16,B,Fre,47.11
C,162,10,B,Fre,10.95
Python,158,20,D,Eng,36.59
SQL,86,14,A,Cas,12.16
PHP,191,5,C,Eng,35.67
Python,240,15,D,Eng,43.84
PHP,66,2,B,Gal,8.14
SQL,41,13,A,Gal,38.66
SQL,50,17,C,Fre,30.27
Rust,70,10,B,Eng,39.37
C++,140,25,C,Ger,42.78
C,128,20,A,Ger,25.18
C,163,24,A,Ger,16.78
PHP,19,13,A,Gal,43.5
PHP,133,24,C,Ger,23.16
Rust,171,2,A,Gal,5.3
Python,160,13,B,Cas,38.93
C++,89,4,C,Fre,21.19
C++,10,15,A,Fre,37.19
Rust,154,12,D,Fre,27.38
Rust,212,24,A,Cas,8.48
Python,71,7,A,Eng,45.91
SQL,175,23,A,Eng,35.72
Python,203,8,C,Eng,43.32
Rust,88,22,A,Gal,44.64
Python,114,20,D,Ger,19.53
Python,99,18,D,Ger,49.95
PHP,20,23,D,Cas,6.66
SQL,219,2,B,Ger,31.58
Rust,187,12,B,Cas,30.0
Rust,105,14,C,Gal,14.31
SQL,36,9,B,Gal,44.26
SQL,206,6,D,Gal,19.15
C++,151,21,B,Gal,33.79
Python,218,14,D,Ger,19.18
Rust,171,5,D,Eng,45.57
Rust,139,12,B,Cas,31.27
Rust,97,2,B,Eng,15.49
Python,107,10,A,Gal,9.63
Rust,166,5,D,Ger,46.03
C++,163,17,A,Fre,34.22
C++,76,23,B,Fre,6.43
Python,208,18,D,Fre,28.99
Python,118,16,D,Cas,20.06
C,215,17,B,Gal,26.44
Rust,223,4,B,Cas,15.09
Rust,81,9,A,Eng,40.91
C,191,3,A,Fre,14.8
Python,17,2,A,Gal,43.89
C++,165,19,A,Ger,43.02
Rust,217,16,C,Fre,11.53
SQL,236,14,C,Cas,7.92
PHP,167,23,D,Cas,22.73
Rust,139,21,B,Cas,19.31
Python,78,23,B,Fre,13.58
SQL,119,1,A,Gal,41.77
Rust,13,13,D,Cas,39.1
C,221,23,B,Cas,25.78
Rust,163,14,B,Fre,26.96
Rust,53,18,B,Ger,29.73
C,232,1,B,Ger,10.67
C++,19,25,D,Eng,48.78
PHP,223,17,C,Ger,32.77
PHP,71,14,D,Gal,31.64
Python,79,17,B,Gal,30.93
Rust,120,1,D,Cas,13.17
C,33,20,A,Cas,18.75
C++,160,9,A,Cas,41.07
C,94,7,C,Cas,25.55
C++,108,7,D,Fre,19.07
PHP,172,25,C,Fre,32.21
Rust,201,9,D,Ger,18.93
C++,48,21,A,Eng,8.86
SQL,88,17,A,Fre,25.73
Rust,34,17,A,Ger,33.94
Python,214,16,D,Fre,26.54
Rust,218,22,B,Ger,45.18
Python,205,25,C,Gal,45.18
PHP,108,10,D,Eng,15.51
PHP,186,14,B,Cas,38.61
Python,230,16,A,Fre,33.71
Rust,94,10,B,Eng,24.77
C++,72,25,D,Eng,5.76
Rust,226,16,B,Cas,27.86
SQL,41,13,B,Gal,8.78
Rust,116,14,D,Fre,32.18
C++,94,10,A,Ger,28.18
Rust,94,7,D,Gal,31.11
SQL,22,25,C,Gal,40.99
C++,174,10,B,Gal,17.29
C,62,15,A,Gal,18.46
C,181,11,D,Cas,15.97
C++,147,19,A,Fre,46.83
C,66,11,B,Ger,7.95
Rust,21,24,D,Fre,39.8
Python,223,24,D,Ger,22.37
Python,16,14,B,Cas,27.65
Python,201,10,D,Ger,33.7
SQL,29,19,A,Ger,47.27
PHP,10,14,A,Gal,46.99
Rust,205,9,C,Gal,46.15
Python,65,23,D,Cas,31.96
SQL,85,20,A,Fre,14.73
Python,97,17,B,Gal,21.15
C,147,14,D,Fre,32.09
Python,103,14,B,Ger,29.5
Rust,99,15,D,Cas,25.76
Rust,37,6,B,Eng,39.8
Rust,236,9,A,Fre,12.03
C++,51,15,D,Gal,24.24
Rust,50,1,C,Eng,30.58
C++,130,4,D,Gal,24.19
C,11,15,C,Ger,23.24
Python,30,12,D,Eng,32.55
Python,60,24,A,Ger,48.31
SQL,209,19,C,Eng,9.42
Rust,150,8,D,Eng,14.16
C++,50,25,A,Ger,28.37
C,220,6,A,Cas,14.19
C,49,3,C,Cas,37.88
Rust,218,3,B,Fre,39.25
Rust,232,18,D,Fre,44.59
PHP,87,15,A,Eng,42.17
Rust,15,23,C,Gal,29.63
SQL,207,12,A,Eng,30.54
SQL,27,4,A,Ger,22.75
PHP,119,4,D,Cas,29.94
Python,142,16,A,Cas,36.87
SQL,190,24,B,Ger,22.07
Rust,220,12,B,Cas,47.49
PHP,69,14,D,Gal,23.92
Rust,36,15,D,Fre,44.44
Rust,182,20,D,Ger,20.14
C,176,8,B,Cas,23.42
C,36,12,B,Gal,37.74
Rust,166,20,D,Gal,25.83
PHP,182,15,D,Eng,12.39
C++,61,14,A,Fre,40.1
Rust,20,20,A,Ger,44.23
SQL,194,13,B,Cas,23.58
Rust,61,6,A,Cas,27.03
Rust,20,10,A,Cas,38.14
C++,176,9,B,Fre,9.29
Rust,196,18,C,Ger,16.65
C,95,1,B,Ger,11.77
Rust,227,13,D,Gal,20.13
C,151,4,D,Fre,7.95
SQL,127,14,B,Ger,13.93
Rust,226,16,B,Eng,22.12
Rust,169,17,C,Cas,46.7
Rust,92,15,A,Gal,17.05
PHP,32,10,D,Fre,33.46
Rust,134,14,D,Fre,46.89
C,203,3,A,Fre,16.88
Rust,229,14,B,Gal,16.74
PHP,43,19,A,Fre,39.63
C++,237,11,B,Ger,30.04
Python,184,25,B,Cas,17.42
C,237,9,C,Cas,33.74
C++,54,18,D,Eng,39.93
Rust,113,14,B,Ger,30.16
Rust,37,3,B,Ger,23.81
Python,119,9,D,Gal,26.15
SQL,161,4,C,Ger,11.15
SQL,223,13,D,Eng,38.48
C,112,8,D,Fre,12.18
PHP,38,4,B,Cas,46.48
Python,222,24,B,Fre,10.9
C++,166,7,B,Fre,24.47
PHP,116,3,B,Gal,47.66
PHP,114,25,C,Gal,17.39
PHP,32,21,C,Fre,23.22
PHP,160,15,C,Eng,7.04
C,51,18,A,Ger,16.08
SQL,24,20,D,Fre,37.95
Python,150,4,B,Cas,28.6
Rust,186,4,B,Cas,16.94
PHP,237,9,A,Ger,21.65
Python,161,10,A,Fre,43.59
C,154,15,B,Eng,28.62
Rust,121,2,A,Fre,43.87
C++,18,9,A,Fre,20.23
SQL,197,1,D,Gal,7.91
PHP,84,23,B,Eng,33.26
C++,12,11,B,Fre,45.28
Rust,29,17,C,Gal,27.15
SQL,41,23,B,Fre,6.21
C++,240,3,C,Gal,32.85
SQL,11,24,C,Ger,12.56
Python,35,16,B,Fre,48.63
Rust,191,24,B,Fre,22.93
Rust,139,8,B,Ger,33.71
C++,159,23,A,Ger,20.01
C,95,14,D,Eng,45.85
C,11,22,D,Cas,10.9
Python,77,15,B,Eng,15.37
Rust,154,18,C,Eng,10.9
PHP,216,25,A,Fre,18.91
C++,114,25,A,Eng,31.83
C,160,13,A,Fre,17.41
Rust,113,22,C,Cas,42.19
SQL,197,20,D,Fre,6.71
PHP,24,9,A,Fre,5.12
SQL,157,14,C,Ger,5.13
Python,164,11,C,Eng,37.9
C++,114,16,B,Ger,41.13
SQL,49,18,D,Eng,15.1
Rust,240,14,D,Cas,22.62
Rust,57,1,D,Ger,26.01
Rust,138,15,A,Eng,18.69
C++,85,11,A,Gal,31.84
Python,54,16,D,Eng,33.84
Rust,238,5,B,Gal,23.75
SQL,111,15,D,Gal,21.85
Rust,79,22,B,Gal,26.92
Rust,41,15,D,Eng,6.64
Python,202,2,C,Eng,17.54
C++,49,11,B,Fre,31.22
Rust,138,1,A,Fre,45.25
SQL,95,10,B,Gal,18.29
Rust,20,23,B,Eng,35.17
C++,150,17,B,Ger,47.68
Rust,233,5,A,Fre,28.48
Rust,37,8,D,Ger,36.35
Rust,156,17,A,Eng,46.88
Rust,160,25,B,Fre,40.81
Rust,169,17,C,Ger,28.38
SQL,136,14,C,Fre,26.82
PHP,231,20,A,Gal,16.4
Rust,168,15,B,Fre,30.63
SQL,180,10,B,Gal,41.21
PHP,112,9,D,Fre,23.93
Rust,174,12,B,Fre,43.16
PHP,143,4,A,Ger,35.5
C,81,19,D,Ger,33.43
SQL,23,19,D,Gal,8.33
SQL,231,1,A,Cas,35.93
Rust,23,3,C,Cas,11.39
PHP,55,14,B,Gal,16.63
Rust,237,10,A,Eng,15.26
Rust,230,10,A,Gal,17.46
SQL,91,16,B,Ger,36.83
Python,176,18,A,Eng,37.03
PHP,10,7,D,Cas,33.94
C++,211,13,C,Cas,14.34
SQL,42,16,C,Cas,16.43
SQL,143,1,A,Eng,9.9
SQL,237,1,B,Eng,32.23
Python,222,11,B,Eng,6.98
Rust,155,21,A,Cas,12.48
Rust,185,2,D,Ger,19.59
PHP,57,2,A,Ger,22.86
SQL,12,19,C,Cas,9.96
Rust,214,22,C,Cas,46.78
Rust,143,15,D,Eng,34.71
PHP,42,15,C,Cas,8.51
Rust,44,16,B,Ger,16.4
Rust,55,6,C,Fre,23.77
Rust,62,17,B,Ger,12.02
Rust,137,22,A,Gal,8.24
C,25,10,A,Gal,18.63
PHP,48,6,D,Gal,47.01
PHP,170,8,D,Eng,16.76
C++,42,10,D,Fre,31.49
Rust,107,17,D,Eng,23.48
SQL,119,23,B,Fre,8.67
SQL,132,21,C,Fre,24.08
Python,112,5,D,Fre,12.99
PHP,52,25,B,Cas,15.17
SQL,188,10,B,Cas,7.41
SQL,10,13,D,Gal,44.55
